[INFO] 20:02:22:562 gameboy/(4684:4684): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:530 gameboy/(4690:4690): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:532 gameboy/(4692:4692): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:534 gameboy/(4694:4694): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:541 gameboy/(4696:4696): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:542 gameboy/(4698:4698): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:545 gameboy/(4700:4700): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:550 gameboy/(4702:4702): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:558 gameboy/(4704:4704): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:565 gameboy/(4706:4706): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:573 gameboy/(4708:4708): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:575 gameboy/(4710:4710): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:33:577 gameboy/(4712:4712): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:192 gameboy/(4718:4718): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:194 gameboy/(4720:4720): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:196 gameboy/(4722:4722): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:198 gameboy/(4724:4724): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:210 gameboy/(4726:4726): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:212 gameboy/(4728:4728): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:218 gameboy/(4730:4730): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:220 gameboy/(4732:4732): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:222 gameboy/(4734:4734): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

[INFO] 20:02:39:224 gameboy/(4736:4736): Se creo la conexion con el proceso IP = 127.0.0.1, PUERTO = 4444

